timestamp,pressure,altitude,temperature,gyrox,gyroy,gyroz,magx,magy,magz,rhall
2017:12:17:18:50:12,102145,-6.88754903,2301,65535,0,0,0,0,0,0
2017:12:17:18:50:18,102142,-6.652843934,2301,65407,65519,65535,0,0,0,0
2017:12:17:18:50:28,102130,-5.713954609,2301,65519,16,16,0,0,0,0
2017:12:17:18:50:32,102133,-5.948687282,2302,65487,0,0,0,0,0,0
2017:12:17:18:50:37,102126,-5.400966985,2302,65535,65503,32,0,0,0,0
2017:12:17:18:50:41,102137,-6.261653454,2302,65487,65535,65535,0,0,0,0
2017:12:17:18:50:49,102160,-8.060971122,2303,65503,65519,0,0,0,0,0
2017:12:17:18:50:51,102140,-6.49637004,2302,65535,65535,32,0,0,0,0
2017:12:17:18:50:53,102137,-6.261653454,2303,65519,65519,0,0,0,0,0
2017:12:17:18:50:55,102149,-7.200478436,2303,65503,65535,65535,0,0,0,0
2017:12:17:18:50:57,102140,-6.49637004,2303,65519,65519,65535,0,0,0,0
2017:12:17:18:51:03,102154,-7.591622962,2303,65487,0,0,0,0,0,0
2017:12:17:18:51:07,102157,-7.826300487,2303,65503,0,65535,0,0,0,0
2017:12:17:18:51:17,102128,-5.557462329,2304,65471,0,0,0,0,0,0
2017:12:17:18:51:19,102125,-5.322718164,2303,65503,65519,16,0,0,0,0
2017:12:17:18:51:21,102143,-6.731079732,2304,65503,32,16,0,0,0,0
2017:12:17:18:51:23,102141,-6.57460737,2304,65471,65535,0,0,0,0,0
2017:12:17:18:51:29,102136,-6.18341306,2304,65455,16,0,0,0,0,0
2017:12:17:18:51:31,102146,-6.96578253,2304,65503,0,32,0,0,0,0
2017:12:17:18:51:35,102146,-6.96578253,2304,65503,65503,0,0,0,0,0
2017:12:17:18:51:39,102139,-6.418131944,2304,65503,0,0,0,0,0,0
2017:12:17:18:51:41,102149,-7.200478436,2304,65519,16,0,0,0,0,0
2017:12:17:18:51:43,102149,-7.200478436,2304,65503,65519,48,0,0,0,0
2017:12:17:18:51:45,102140,-6.49637004,2305,65487,0,0,0,0,0,0
2017:12:17:18:51:47,102130,-5.713954609,2304,65503,65535,16,0,0,0,0
2017:12:17:18:51:49,102042,1.174606443,2304,1647,65455,64159,0,0,0,0
2017:12:17:18:51:51,98826,257.082919,2288,112,656,64895,0,0,0,0
2017:12:17:18:53:00,75335,2426.021609,2233,1358,64575,1839,0,0,0,0
2017:12:17:18:53:06,75927,2363.470347,2228,1327,1519,65392,0,0,0,0
2017:12:17:18:53:10,76320,2322.21438,2226,494,111,64047,0,0,0,0
2017:12:17:18:53:56,81355,1811.678448,2183,63824,31,63888,0,0,0,0
2017:12:17:18:53:58,81599,1787.747103,2182,63840,1200,656,0,0,0,0
2017:12:17:18:54:00,81821,1766.035592,2179,624,64511,63759,0,0,0,0
2017:12:17:18:54:08,82658,1684.703725,2176,64223,416,64767,0,0,0,0
2017:12:17:18:54:14,83323,1620.670173,2164,1215,832,64,0,0,0,0
2017:12:17:18:54:28,84922,1468.768916,2154,65471,1232,1856,0,0,0,0
2017:12:17:18:54:35,85850,1381.917364,2142,688,65055,64735,0,0,0,0
2017:12:17:18:54:39,86295,1340.602288,2139,384,863,64672,0,0,0,0
2017:12:17:18:54:45,86974,1277.970743,2130,65488,1056,65264,0,0,0,0
2017:12:17:18:54:51,87678,1213.547372,2123,672,1376,65503,0,0,0,0
2017:12:17:18:54:53,87970,1186.977954,2121,671,672,80,0,0,0,0
2017:12:17:18:55:23,91539,869.1738139,2087,48,64032,1456,0,0,0,0
2017:12:17:18:55:25,91781,848.0754993,2081,64720,975,64831,0,0,0,0
2017:12:17:18:55:41,93806,673.6794236,2069,64496,1264,65295,0,0,0,0
2017:12:17:18:55:51,94969,575.2142329,2050,1584,1327,288,0,0,0,0
2017:12:17:18:56:03,96431,453.1310393,2043,64672,767,656,0,0,0,0
2017:12:17:18:56:05,96750,426.7392605,2042,224,64544,63968,0,0,0,0
2017:12:17:20:01:35,102121,-5.009715217,2162,65487,16,10,11,0,12,0
